"Sex","Age","Mortality.Rate","Country"
"F",0,0.00219078787223109,"NO"
"F",1,0.000252282157676349,"NO"
"F",2,7.25500347910394e-05,"NO"
"F",3,9.84940263373026e-05,"NO"
"F",4,9.26495794370876e-05,"NO"
"F",5,8.02385760327373e-05,"NO"
"F",6,4.04094827586207e-05,"NO"
"F",7,6.7794771667209e-05,"NO"
"F",8,7.49479622671077e-05,"NO"
"F",9,8.11446809661627e-05,"NO"
"F",10,8.05942482571494e-05,"NO"
"F",11,8.67241937151644e-05,"NO"
"F",12,3.28807841409402e-05,"NO"
"F",13,0.000116643014055483,"NO"
"F",14,6.44807686107618e-05,"NO"
"F",15,0.000154154462771697,"NO"
"F",16,0.000159474881111476,"NO"
"F",17,0.000267454596398278,"NO"
"F",18,0.000305116420984382,"NO"
"F",19,0.00022654475202789,"NO"
"F",20,0.000256244394653867,"NO"
"F",21,0.000254831702306848,"NO"
"F",22,0.000291670933129784,"NO"
"F",23,0.00022472330942527,"NO"
"F",24,0.000207934922670262,"NO"
"F",25,0.000290670121007235,"NO"
"F",26,0.000285213577433902,"NO"
"F",27,0.000157733184853829,"NO"
"F",28,0.00024454247044328,"NO"
"F",29,0.000337188101006569,"NO"
"F",30,0.000286340321697127,"NO"
"F",31,0.000355349411335646,"NO"
"F",32,0.000364438356508681,"NO"
"F",33,0.000326631114126168,"NO"
"F",34,0.000405200278029729,"NO"
"F",35,0.00039220973415534,"NO"
"F",36,0.000475515467795865,"NO"
"F",37,0.000538011695906433,"NO"
"F",38,0.000484561030461787,"NO"
"F",39,0.000476827581951235,"NO"
"F",40,0.000593200371443223,"NO"
"F",41,0.000707984029197481,"NO"
"F",42,0.000791874487893669,"NO"
"F",43,0.000791596894504491,"NO"
"F",44,0.00090862722035325,"NO"
"F",45,0.000996218896461159,"NO"
"F",46,0.00121123332391263,"NO"
"F",47,0.00140569630490082,"NO"
"F",48,0.00136788236211686,"NO"
"F",49,0.00172024842591147,"NO"
"F",50,0.00188612886057275,"NO"
"F",51,0.00219807212069872,"NO"
"F",52,0.00223521866407584,"NO"
"F",53,0.00231864855912554,"NO"
"F",54,0.00287297352760107,"NO"
"F",55,0.0031685452230455,"NO"
"F",56,0.00333568163572915,"NO"
"F",57,0.00359080726790011,"NO"
"F",58,0.00358283779825762,"NO"
"F",59,0.00441311464052514,"NO"
"F",60,0.00486334560281274,"NO"
"F",61,0.00493778182372048,"NO"
"F",62,0.00592887475340627,"NO"
"F",63,0.00595513796069609,"NO"
"F",64,0.00683746254167898,"NO"
"F",65,0.00752127919160602,"NO"
"F",66,0.00855738392830381,"NO"
"F",67,0.00946728500372444,"NO"
"F",68,0.0108794277899005,"NO"
"F",69,0.0110921257362136,"NO"
"F",70,0.0117795065341857,"NO"
"F",71,0.0133688823245131,"NO"
"F",72,0.015403453761029,"NO"
"F",73,0.0162784369861231,"NO"
"F",74,0.0184154282021969,"NO"
"F",75,0.0213158942428811,"NO"
"F",76,0.0241751329769051,"NO"
"F",77,0.0257570776000168,"NO"
"F",78,0.0301342473578977,"NO"
"F",79,0.0341735108090248,"NO"
"F",80,0.0389911667608482,"NO"
"F",81,0.0454725187821273,"NO"
"F",82,0.0502368536284384,"NO"
"F",83,0.0600855506174487,"NO"
"F",84,0.0672300071521284,"NO"
"F",85,0.079341065725332,"NO"
"F",86,0.0914207606335933,"NO"
"F",87,0.103003455110639,"NO"
"F",88,0.12099438884016,"NO"
"F",89,0.13715335561088,"NO"
"F",90,0.168644676942736,"NO"
"F",91,0.189985130255103,"NO"
"F",92,0.219129089942487,"NO"
"F",93,0.252398897932039,"NO"
"F",94,0.283621952270182,"NO"
"F",95,0.331933021714691,"NO"
"F",96,0.376478540047313,"NO"
"F",97,0.435653480220331,"NO"
"F",98,0.46142350084065,"NO"
"F",99,0.478520625889047,"NO"
"F",100,0.682177348551361,"NO"
"M",0,0.00268344353855043,"NO"
"M",1,0.000219808515381886,"NO"
"M",2,0.000106194579703717,"NO"
"M",3,0.000105923292843635,"NO"
"M",4,6.91804320003522e-05,"NO"
"M",5,0.000146351861691128,"NO"
"M",6,6.43641465957803e-05,"NO"
"M",7,5.85181259895253e-05,"NO"
"M",8,0.000111136897776935,"NO"
"M",9,5.18611676541897e-05,"NO"
"M",10,9.00286805653801e-05,"NO"
"M",11,8.29502202966428e-05,"NO"
"M",12,9.39740694217775e-05,"NO"
"M",13,0.000104516014005146,"NO"
"M",14,0.000134143069681227,"NO"
"M",15,0.000145533927596871,"NO"
"M",16,0.000276738337885478,"NO"
"M",17,0.000357617551869446,"NO"
"M",18,0.000534432284460491,"NO"
"M",19,0.000508797463112184,"NO"
"M",20,0.000696958779022722,"NO"
"M",21,0.000650433425182417,"NO"
"M",22,0.000748231927954244,"NO"
"M",23,0.000634600216972836,"NO"
"M",24,0.000665398949402209,"NO"
"M",25,0.000736697996795364,"NO"
"M",26,0.000700228495614358,"NO"
"M",27,0.000814460936265393,"NO"
"M",28,0.00080726661345586,"NO"
"M",29,0.000787418140070267,"NO"
"M",30,0.000835626331779466,"NO"
"M",31,0.00082156549901174,"NO"
"M",32,0.000825917037232101,"NO"
"M",33,0.000689696176942743,"NO"
"M",34,0.000915802316684441,"NO"
"M",35,0.000947936203311961,"NO"
"M",36,0.00088957317594731,"NO"
"M",37,0.000858590194899974,"NO"
"M",38,0.000946531772367222,"NO"
"M",39,0.00112663481620441,"NO"
"M",40,0.00110694041145657,"NO"
"M",41,0.00124296282813048,"NO"
"M",42,0.00114205554353239,"NO"
"M",43,0.00139013007645715,"NO"
"M",44,0.00139592976269194,"NO"
"M",45,0.00167885073104386,"NO"
"M",46,0.00177815364765452,"NO"
"M",47,0.00195528257699616,"NO"
"M",48,0.00228416350992254,"NO"
"M",49,0.00242471940672498,"NO"
"M",50,0.00265618359541011,"NO"
"M",51,0.00304859824257278,"NO"
"M",52,0.0033074071381842,"NO"
"M",53,0.0036165481514063,"NO"
"M",54,0.00400177856825256,"NO"
"M",55,0.00470304188725274,"NO"
"M",56,0.00490391961919498,"NO"
"M",57,0.00530817250911734,"NO"
"M",58,0.00605177928961422,"NO"
"M",59,0.00670263975680927,"NO"
"M",60,0.00735483119188707,"NO"
"M",61,0.0081176226962104,"NO"
"M",62,0.00887736064971183,"NO"
"M",63,0.00951472173214617,"NO"
"M",64,0.0106739082630291,"NO"
"M",65,0.0118758550544012,"NO"
"M",66,0.014022316141555,"NO"
"M",67,0.0153397534857507,"NO"
"M",68,0.0168256777263787,"NO"
"M",69,0.0183341093538002,"NO"
"M",70,0.0193212291730778,"NO"
"M",71,0.0225985342455168,"NO"
"M",72,0.0245945099943145,"NO"
"M",73,0.0274830919823054,"NO"
"M",74,0.0300914658510538,"NO"
"M",75,0.0352618885949097,"NO"
"M",76,0.0379433599120154,"NO"
"M",77,0.0432958079635551,"NO"
"M",78,0.0484128081087307,"NO"
"M",79,0.055417843623297,"NO"
"M",80,0.0614041307496733,"NO"
"M",81,0.0721032269219962,"NO"
"M",82,0.0827400241265937,"NO"
"M",83,0.0917019878641089,"NO"
"M",84,0.109126640078608,"NO"
"M",85,0.116349369693851,"NO"
"M",86,0.132962874952017,"NO"
"M",87,0.152667555499122,"NO"
"M",88,0.167553795312934,"NO"
"M",89,0.197577685343773,"NO"
"M",90,0.231379012636371,"NO"
"M",91,0.263249974271895,"NO"
"M",92,0.301104001125097,"NO"
"M",93,0.334659769200159,"NO"
"M",94,0.38768115942029,"NO"
"M",95,0.414686825053996,"NO"
"M",96,0.493887530562347,"NO"
"M",97,0.466039707419018,"NO"
"M",98,0.560553633217993,"NO"
"M",99,0.574965612104539,"NO"
"M",100,0.666666666666667,"NO"
